 ,Label,Area,Perim,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Lineage,Cell,Time,NormArea,NormPerim,TotalArea,TotalPerim,NormTotalArea,NormTotalPerim
1,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1_t1:1,778,110.82,0.796,41.976,359,339,102.381,24.749,1.59,0.629,1.003,cell1,c1m,t1,1,1,778,110.82,1,1
2,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1_t2:25,1662,153.913,0.882,57.078,467.667,394.333,110.869,38.968,1.407,0.711,1.007,cell1,c1d,t2,2.13624678663239,1.38885580220177,1662,153.913,2.13624678663239,1.38885580220177
3,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1_t3_a:35,408,79.281,0.816,29.017,488,431,91.975,20.524,1.35,0.741,1,cell1,c1a,t3,0.524421593830334,0.715403356794803,909,167.134,1.16838046272494,1.50815737231547
4,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1_t3_b:35,501,87.853,0.816,35.128,497,485,85.101,21.473,1.631,0.613,0.988,cell1,c1b,t3,0.643958868894601,0.792754015520664,909,167.134,1.16838046272494,1.50815737231547
5,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2_t1:1,723,103.164,0.854,39.661,377,358,56.31,26.346,1.4,0.714,1.004,cell2,c2m,t1,1,1,723,103.164,1,1
6,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2_t2:24,1592,150.275,0.886,52.873,491.667,379.667,113.009,42.488,1.192,0.839,1.003,cell2,c2d,t2,2.20193637621024,1.4566612384165,1592,150.275,2.20193637621024,1.4566612384165
7,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2_t3_a:34,496,90.269,0.765,36,531,459,90,17,1.965,0.509,1,cell2,c2a,t3,0.686030428769018,0.875004846651933,915,171.412,1.2655601659751,1.66154860222558
8,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2_t3_b:34,419,81.143,0.8,31.145,522,436,95.528,16.84,1.714,0.583,1.001,cell2,c2b,t3,0.579529737206086,0.78654375557365,915,171.412,1.2655601659751,1.66154860222558
9,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3_t1:1,668,103.631,0.782,38,350,371,90,21.561,1.616,0.619,0.999,cell3,c3m,t1,1,1,668,103.631,1,1
10,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3_t2:26,1451,142.784,0.894,51.887,461.5,471.75,57.995,36.987,1.349,0.741,1.005,cell3,c3d,t2,2.17215568862275,1.37781165867356,1451,142.784,2.17215568862275,1.37781165867356
11,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3_t3_a:36,453,82.948,0.827,33.061,474,516,86.532,19.914,1.472,0.68,0.992,cell3,c3a,t3,0.67814371257485,0.800416863679787,926,167.105,1.38622754491018,1.61250012062028
12,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3_t3_b:36,473,84.157,0.839,31.785,467,490,87.295,20.053,1.437,0.696,1.005,cell3,c3b,t3,0.708083832335329,0.812083256940491,926,167.105,1.38622754491018,1.61250012062028
13,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4_t1:1,658,97.72,0.866,35.693,334,437,78.69,22.921,1.416,0.706,1.001,cell4,c4m,t1,1,1,658,97.72,1,1
14,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4_t2:29,1548,149.548,0.87,57.891,466.25,427.5,111.801,38.808,1.352,0.74,1.007,cell4,c4d,t2,2.35258358662614,1.53037249283668,1548,149.548,2.35258358662614,1.53037249283668
15,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4_t3_a:36,500,88.011,0.811,35.014,456,480,91.637,20.302,1.651,0.606,0.998,cell4,c4a,t3,0.759878419452888,0.900644699140401,1016,175.659,1.54407294832827,1.79757470323373
16,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4_t3_b:36,516,87.648,0.844,32.249,438,506,82.875,23.672,1.302,0.768,1.002,cell4,c4b,t3,0.78419452887538,0.896930004093328,1016,175.659,1.54407294832827,1.79757470323373
17,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5_t1:1,724,103.239,0.854,40.817,383,327,59.036,24.883,1.511,0.662,1.002,cell5,c5m,t1,1,1,724,103.239,1,1
18,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5_t2:24,1957,177.657,0.779,68.007,498.333,327,107.103,39.712,1.54,0.649,0.996,cell5,c5d,t2,2.70303867403315,1.72083224362886,1957,177.657,2.70303867403315,1.72083224362886
19,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5_t3_a:34,406,78.976,0.818,29.012,525.167,437.333,148.867,19.804,1.389,0.72,0.996,cell5,c5a,t3,0.560773480662983,0.764982225709277,873,160.353,1.20580110497238,1.55322116641967
20,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5_t3_b:34,467,81.377,0.886,29.236,522,435.833,43.614,22.752,1.216,0.823,1.009,cell5,c5b,t3,0.645027624309392,0.78823894071039,873,160.353,1.20580110497238,1.55322116641967
21,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell6_t1:1,693,99.805,0.874,35.355,343,468,81.87,24.989,1.287,0.777,1,cell6,c6m,t1,1,1,693,99.805,1,1
22,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell6_t2:27,1634,151.902,0.89,56.777,448.25,481.5,100.914,37.472,1.497,0.668,1.005,cell6,c6d,t2,2.35786435786436,1.5219878763589,1634,151.902,2.35786435786436,1.5219878763589
23,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell6_t3_a:37,438,81.715,0.824,31.158,424.5,566.5,51.843,19.52,1.507,0.664,0.998,cell6,c6a,t3,0.632034632034632,0.818746555783778,945,170.407,1.36363636363636,1.70739942888633
24,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell6_t3_b:37,507,88.692,0.81,34.205,427,546,74.745,19.728,1.573,0.636,1.009,cell6,c6b,t3,0.731601731601732,0.88865287310255,945,170.407,1.36363636363636,1.70739942888633
25,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell7_t1:1,649,96.863,0.869,33.287,348,433,32.735,26.408,1.209,0.827,1,cell7,c7m,t1,1,1,649,96.863,1,1
26,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell7_t2:26,1528,149.616,0.858,54.409,461.5,471.75,111.85,34.127,1.503,0.665,1.014,cell7,c7d,t2,2.35439137134052,1.54461455870663,1528,149.616,2.35439137134052,1.54461455870663
27,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell7_t3_a:36,478,81.617,0.902,29.155,466,559,84.094,22.071,1.176,0.851,1.007,cell7,c7a,t3,0.736517719568567,0.842602438495607,800,153.177,1.2326656394453,1.58137782228508
28,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell7_t3_b:36,322,71.56,0.79,28.792,456,535,69.677,16.346,1.654,0.605,1.013,cell7,c7b,t3,0.496147919876733,0.738775383789476,800,153.177,1.2326656394453,1.58137782228508
29,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell8_t1:1,706,102.311,0.848,37.054,374,378,93.094,24.839,1.431,0.699,0.999,cell8,c8m,t1,1,1,706,102.311,1,1
30,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell8_t2:26,1752,160.488,0.855,62.155,496,447.75,98.326,37.502,1.64,0.61,0.987,cell8,c8d,t2,2.48158640226629,1.5686289841757,1752,160.488,2.48158640226629,1.5686289841757
31,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell8_t3_a:36,473,83.965,0.843,30.017,491,528,91.909,22.615,1.201,0.833,0.999,cell8,c8a,t3,0.669971671388102,0.820683992923537,915,165.917,1.29603399433428,1.62169268211629
32,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell8_t3_b:36,442,81.952,0.827,32.28,477,538,73.811,19.8,1.546,0.647,0.994,cell8,c8b,t3,0.626062322946176,0.801008689192755,915,165.917,1.29603399433428,1.62169268211629
33,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell9_t1:1,662,101.718,0.804,38.897,374,378,46.042,26.464,1.405,0.712,0.994,cell9,c9m,t1,1,1,662,101.718,1,1
34,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell9_t2:26,1589,154.111,0.841,59.12,523.5,476.25,75.552,41.789,1.34,0.746,0.998,cell9,c9d,t2,2.40030211480363,1.51508090996677,1589,154.111,2.40030211480363,1.51508090996677
35,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell9_t3_a:36,491,83.987,0.875,29.614,501,541,78.311,22,1.256,0.796,1.004,cell9,c9a,t3,0.741691842900302,0.825684736231542,965,167.616,1.45770392749245,1.64784993806406
36,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell9_t3_b:36,474,83.629,0.852,30.594,493,516,78.69,20.763,1.345,0.744,1,cell9,c9b,t3,0.716012084592145,0.822165201832517,965,167.616,1.45770392749245,1.64784993806406
