,Time,Angle,Tortuosity,Angle Diference
0,0,81.18001530470062,1.044732390408003,0.0
1,1,77.1216876546083,1.059026677587201,-4.058327650092323
2,2,73.49668769602908,1.069948772471727,-7.683327608671533
3,3,74.11876083506634,1.067223109322757,-7.061254469634278
4,4,71.55701642458301,1.072215560082462,-9.622998880117606
5,5,70.78894116184757,1.073577492423684,-10.391074142853043
6,6,70.67970594645156,1.070634953551727,-10.500309358249055
7,7,72.71547114933054,1.07060302113907,-8.464544155370078
8,8,70.28065214419357,1.073931457192958,-10.89936316050705
9,8,83.78271352944734,1.042197174357223,2.6026982247467174
10,9,69.16324685635782,1.077165407416042,-12.016768448342802
11,9,85.52111961662065,1.043508374287435,4.341104311920034
12,10,66.68080777232751,1.077524779572555,-14.499207532373106
13,10,51.54721568493821,1.05440312294857,-29.63279961976241
14,10,82.6973076778731,1.041888151220377,1.5172923731724808
15,11,67.11303580338426,1.078076045671109,-14.066979501316354
16,11,53.89261385346138,1.134934652857745,-27.28740145123924
17,11,80.04134763797863,1.059061094299772,-1.138667666721986
18,12,66.01286991301363,1.0781202611725451,-15.167145391686986
19,12,46.8175316658524,1.098616887175366,-34.36248363884822
20,12,79.25303452473243,1.078123892865708,-1.92698077996819
21,12,53.60934200291885,1.037868132400903,-27.570673301781767
22,13,62.40910501256399,1.074417593449685,-18.770910292136627
23,13,45.51298602494747,1.111067389226184,-35.667029279753145
24,13,78.17034025825869,1.07435708076351,-3.0096750464419273
25,13,50.60852571183043,1.026619409214966,-30.571489592870186
26,14,60.83959584318676,1.071155436608222,-20.34041946151386
27,14,41.04342634530702,1.140473047283603,-40.1365889593936
28,14,76.1725713977325,1.076035156651001,-5.0074439069681205
29,14,44.13861194506293,1.014694263576478,-37.04140335963769
30,15,60.12812235810321,1.067206145491101,-21.051892946597405
31,15,40.130325675924695,1.138094126950966,-41.04968962877592
32,15,74.80876020539937,1.082477991075572,-6.371255099301251
33,15,43.33437083067226,1.034300155500517,-37.845644474028354
34,16,55.7933701221113,1.052847662380528,-25.38664518258932
35,16,41.80392351315834,1.113013697782359,-39.37609179154228
36,16,74.9969592377899,1.076536571208871,-6.183056066910723
37,16,45.02034838577655,1.054738199558062,-36.15966691892407
38,17,55.47855304288707,1.056284141045349,-25.701462261813546
39,17,43.61653277547466,1.115005464809031,-37.56348252922596
40,17,75.06463275208638,1.088239760883773,-6.115382552614236
41,17,39.94007758678316,1.045754469446904,-41.239937717917456
42,18,55.752112364429834,1.050829167646438,-25.427902940270783
43,18,43.20428987792937,1.107699366686166,-37.97572542677125
44,18,75.01428742771422,1.075077558486541,-6.165727876986395
45,18,38.06128037631483,1.047402281123938,-43.118734928385784
46,19,57.90977936852062,1.058960638208032,-23.27023593618
47,19,43.307111545694745,1.090277643517767,-37.87290375900587
48,19,75.63626494410309,1.069091025406706,-5.543750360597528
49,19,35.733668020390375,1.051599756182023,-45.44634728431024
50,20,59.370770492364684,1.063599442993749,-21.809244812335933
51,20,42.30376017171446,1.0890271748104081,-38.87625513298616
52,20,75.54004806926513,1.066945609714324,-5.639967235435492
53,20,34.708022908959165,1.055247702340517,-46.47199239574145
54,21,58.47585861674211,1.060727867089852,-22.70415668795851
55,21,43.56906979093224,1.090903928528853,-37.61094551376838
56,21,75.83184058079723,1.065594384246246,-5.348174723903384
57,21,33.18270506351192,1.062563096183758,-47.9973102411887
58,22,60.692938021328246,1.068054193438605,-20.487077283372372
59,22,44.02723205026753,1.089174710188129,-37.15278325443309
60,22,75.47928670640869,1.073295774049292,-5.700728598291931
61,22,31.900275575139492,1.061348341804457,-49.27973972956113
62,23,67.6292888216105,1.073570095174202,-13.550726483090116
63,23,44.803319124899396,1.123042078613995,-36.37669617980122
64,23,76.04288659596146,1.065422049370224,-5.137128708739155
65,23,32.641651628409356,1.07107643136009,-48.53836367629126
66,24,44.86552848785987,1.101368982499728,-36.31448681684075
67,24,80.19300515830959,1.061153030099479,-0.9870101463910288
68,24,31.1163815942863,1.068624881219936,-50.06363371041432
69,25,47.05396207906698,1.094826488862467,-34.12605322563364
70,25,80.58393786564444,1.087557882814676,-0.5960774390561738
71,25,31.004035227723346,1.059217637124687,-50.17598007697727
72,26,48.11318440045797,1.095274357007074,-33.06683090424265
73,26,81.71684085270694,1.078374430156734,0.5368255480063198
74,26,30.496736587498987,1.057834495681378,-50.68327871720163
75,27,53.06607217143062,1.097219972187369,-28.11394313327
76,27,83.13597657731718,1.081496149798954,1.9559612726165625
77,27,35.60279476570376,1.051668307090617,-45.577220538996855
78,28,56.881818822960774,1.058018953543186,-24.298196481739843
79,28,84.52070863907805,1.103329106972368,3.340693334377434
80,28,36.01799172006508,1.051753693538259,-45.162023584635534
81,29,59.475764160286126,1.078031033964189,-21.704251144414492
82,29,87.31543763233968,1.103430487151921,6.135422327639063
83,29,37.06640868218911,1.051635180691068,-44.113606622511504
84,30,63.25684760177846,1.074887115034551,-17.923167702922157
85,30,89.55359500070448,1.118193211269823,8.373579696003858
86,31,69.06548635876743,1.07555369344226,-12.114528945933188
87,31,-88.98785726194149,1.104561242169855,-170.1678725666421
88,32,82.06992748185075,1.043351344122639,0.889912177150137
89,32,-85.96107942181784,1.116188746180766,-167.14109472651847
90,33,86.78202717891836,1.026334219064464,5.602011874217737
91,33,-83.5169372084638,1.12710962356363,-164.69695251316443
92,34,-80.69882164748405,1.112000599801876,-161.87883695218466
93,35,-75.88736318856027,1.092990565127016,-157.0673784932609
94,36,-75.17642928842115,1.094381937766204,-156.35644459312175
