"Stock","Genotype","Type","Position","AreaCorr.count","AreaCorr.mean","AreaCorr.sd"
"wt","wildtype","EF","ant",10,573.3436938,477.655502481564
"wt","wildtype","CF","mid",16,11422.6639619375,1231.44153794893
"wt","wildtype","EF","post",4,766.04541375,349.874850765782
"btd","homozygote","EF","ant",3,938.937414333334,674.440501936128
"btd","heterozygote","CF","mid",6,10338.2336158333,1928.34767776306
"btd","homozygote","EF","mid",6,3094.5701425,2029.90347803075
"btd","homozygote","EF","post",3,2126.10426033333,1627.33860270825
"eve","homozygote","EF","ant",1,4604.259001,NA
"eve","heterozygote","CF","mid",7,9711.03387571428,1126.13088072807
"eve","homozygote","EF","mid",2,3749.796864,3940.39644242208
"eve","homozygote","EF","post",4,2579.12171875,1525.49477545884
"prd","heterozygote","EF","ant",5,939.0610748,510.894831226607
"prd","homozygote","EF","ant",4,871.331347,644.599632830271
"prd","heterozygote","CF","mid",9,7615.709856,2654.88387861611
"prd","homozygote","CF","mid",1,7177.064118,NA
"prd","homozygote","EF","mid",4,1963.6206225,930.968390946592
"prd","heterozygote","EF","post",2,478.3696835,248.149271324423
"prd","homozygote","EF","post",1,329.856485,NA
