 ,Label,Angle,Length
1,2019-07-25_MAX_slpGap_t70s_z3_E14_sub20.tif:69,-178.363,59.768
2,2019-07-25_MAX_slpGap_t70s_z3_E13_sub20.tif:42,178.877,29.300
3,2019-07-25_MAX_slpGap_t70s_z3_E11_sub20.tif:21,180.000,47.562
4,2019-07-25_MAX_slpGap_t70s_z3_E9_sub20.tif:49,-173.690,59.708
5,2019-07-25_MAX_slpGap_t70s_z3_E8_sub20.tif:35,174.971,35.896
6,2019-07-25_MAX_slpGap_t70s_z3_E7_sub20.tif:16,-177.917,31.221
7,2019-07-25_MAX_slpGap_t70s_z3_E6_sub20.tif:43,180.000,29.678
8,2019-07-25_MAX_slpGap_t70s_z3_E5_sub20.tif:28,180.000,39.952
9,2019-07-25_MAX_slpGap_t70s_z3_E4_sub20.tif:32,-178.258,84.511
10,2019-07-25_MAX_slpGap_t70s_z3_E3_sub20.tif:45,-178.915,75.353
11,2019-07-25_MAX_slpGap_t70s_z3_E2_sub20.tif:30,-178.821,69.266
12,2019-07-25_MAX_slpGap_t70s_z3_E1_sub20.tif:22,-178.008,32.742
13,2019-07-03_MAX_slpGap_t50s_z3_E13_sub20.tif:81,-178.977,63.933
14,2019-07-03_MAX_slpGap_t50s_z3_E12_sub20.tif:51,180.000,36.908
15,2019-07-03_MAX_slpGap_t50s_z3_E11_sub20.tif:86,175.601,59.532
16,2019-07-03_MAX_slpGap_t50s_z3_E5_sub20.tif:82,176.634,72.795
17,2019-07-03_MAX_slpGap_t50s_z3_E3_sub20.tif:57,175.914,32.043
18,2019-07-03_MAX_slpGap_t50s_z3_E2_sub20.tif:54,176.906,52.976
19,2019-06-27_MAX_slpGap_t45_z3_E4_sub20.tif:17,175.711,22.909
20,2019-06-27_MAX_slpGap_t45_z3_E3_sub20.tif:27,178.531,44.532
21,2019-06-27_MAX_slpGap_t45_z3_E2_sub20.tif:88,-179.349,50.226
22,2019-06-27_MAX_slpGap_t45_z3_E1_sub20.tif:93,-179.157,38.818
23,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G5_C1_sub20.tif:34,178.807,41.177
24,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G3_C1_sub20.tif:83,178.305,48.437
25,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G2_C1_sub20.tif:44,-170.066,51.452
26,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G1_sub20.tif:54,180.000,48.794
