stack,row,count,zygosity
slp_wt11,A,4,heterozygote
slp_wt11,B,5,heterozygote
slp_wt11,C,5,heterozygote
slp_wt11,D,5,heterozygote
slp_wt11,E,4,heterozygote
slp_wt14,A,5,heterozygote
slp_wt14,B,4,heterozygote
slp_wt14,C,5,heterozygote
slp_wt14,D,5,heterozygote
slp_wt14,E,4,heterozygote
slp_wt3,A,4,heterozygote
slp_wt3,B,5,heterozygote
slp_wt3,C,5,heterozygote
slp_wt3,D,4,heterozygote
slp_wt3,E,5,heterozygote
slp_wt8,A,5,heterozygote
slp_wt8,B,5,heterozygote
slp_wt8,C,5,heterozygote
slp_wt8,D,5,heterozygote
slp_wt8,E,4,heterozygote
wt_wt6,A,5,wildtype
wt_wt6,B,5,wildtype
wt_wt6,C,5,wildtype
wt_wt6,D,5,wildtype
wt_wt6,E,4,wildtype
wt_wt4,A,5,wildtype
wt_wt4,B,4,wildtype
wt_wt4,C,5,wildtype
wt_wt4,D,5,wildtype
wt_wt4,E,5,wildtype
slp_slp7,A,7,homozygote
slp_slp7,B,8,homozygote
slp_slp7,C,6,homozygote
slp_slp7,D,8,homozygote
slp_slp7,E,8,homozygote
slp_slp2,A,8,homozygote
slp_slp2,B,9,homozygote
slp_slp2,C,8,homozygote
slp_slp2,D,7,homozygote
slp_slp2,E,6,homozygote
slp_slp6,A,7,homozygote
slp_slp6,B,7,homozygote
slp_slp6,C,8,homozygote
slp_slp6,D,7,homozygote
slp_slp6,E,7,homozygote
slp_slp8,A,8,homozygote
slp_slp8,B,8,homozygote
slp_slp8,C,7,homozygote
slp_slp8,D,7,homozygote
slp_slp8,E,7,homozygote
slp_slp3,A,7,homozygote
slp_slp3,B,7,homozygote
slp_slp3,C,7,homozygote
slp_slp3,D,7,homozygote
slp_slp3,E,7,homozygote
